p,l,all_docs_precision,all_docs_recall,business_precision,business_recall,entertainment_precision,entertainment_recall,politics_precision,politics_recall,sport_precision,sport_recall,tech_precision,tech_recall
6,800,0.501647940074906,0.46072020138058883,0.5330065359477122,0.5330065359477122,0.498272884283247,0.498272884283247,0.46922462030375695,0.46922462030375695,0.4954337899543378,0.4954337899543378,0.5066500415627601,0.5066500415627601
6,1010,0.501647940074906,0.46072020138058883,0.5330065359477122,0.5332466511698438,0.498272884283247,0.5168971999587662,0.46922462030375695,0.37618039239228546,0.4954337899543378,0.5014629454190002,0.5066500415627601,0.35039787544742146
6,1200,0.5018726591760296,0.4611696395828359,0.5330065359477122,0.5332466511698438,0.498272884283247,0.5168971999587662,0.46922462030375695,0.37618039239228546,0.49641226353555107,0.5034198925814268,0.5066500415627601,0.35039787544742146
8,800,0.4867067950775817,0.5858110746355357,0.5112394957983192,0.6731077117857763,0.4786732050333086,0.6628131194383867,0.4696813977389517,0.4948060666947416,0.46759388686981607,0.6061744816940342,0.5052992518703242,0.46935050871010037
8,1010,0.4867067950775817,0.5858110746355357,0.5112394957983192,0.6731077117857763,0.4786732050333086,0.6628131194383867,0.4696813977389517,0.4948060666947416,0.46759388686981607,0.6061744816940342,0.5052992518703242,0.46935050871010037
8,1200,0.4869315141787053,0.5862605128377829,0.5112394957983192,0.6731077117857763,0.4786732050333086,0.6628131194383867,0.4696813977389517,0.4948060666947416,0.46857236045102935,0.6081314288564608,0.5052992518703242,0.46935050871010037
10,800,0.4695070447654705,0.6830656834570641,0.48114145658263335,0.7723958951636057,0.4645900156262859,0.7781040364018115,0.45900993490921566,0.5914096730430511,0.4447900164632066,0.6783782462773064,0.5018564699362709,0.5792567670842237
10,1010,0.4695070447654705,0.6830656834570641,0.48114145658263335,0.7723958951636057,0.4645900156262859,0.7781040364018115,0.45900993490921566,0.5914096730430511,0.4447900164632066,0.6783782462773064,0.5018564699362709,0.5792567670842237
10,1200,0.4697317638665941,0.6835151216593113,0.48114145658263335,0.7723958951636057,0.4645900156262859,0.7781040364018115,0.45900993490921566,0.5914096730430511,0.44576849004441993,0.680335193439733,0.5018564699362709,0.5792567670842237
